600;81;600;CONTROL PRINTING AND PACK:;425-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;08.01.2025;08.01.2025;30000;30000;0;23.5;89
50;81;550;MACHINE FEED 323;425-0005;10;64822008612AA;323-V-HDS/04-V0-BNA;01.01.2025;02.01.2025;9600;9600;0;12.8;90
100;81;51;KLEMMLEISTE 12-POLIG MONTIEREN;425-0005;10;64822008612AA;323-V-HDS/04-V0-BNA;02.01.2025;03.01.2025;9600;9600;0;12.8;91
200;81;323001;4-POLIG SCHNEIDEN MIT;425-0005;10;64822008612AA;323-V-HDS/04-V0-BNA;03.01.2025;03.01.2025;9600;9600;0;5.76;92
300;81;731;BEDRUCKEN MIT TINTENSTRAHL-;425-0005;10;64822008612AA;323-V-HDS/04-V0-BNA;03.01.2025;06.01.2025;9600;9600;0;6.56;93
350;81;551;100% CONTROL 323;425-0005;10;64822008612AA;323-V-HDS/04-V0-BNA;06.01.2025;07.01.2025;9600;9600;0;12.8;94
400;81;600;KONTROLLE DRUCK UND VERPACKEN:;425-0005;10;64822008612AA;323-V-HDS/04-V0-BNA;07.01.2025;07.01.2025;9600;9600;0;5.92;95
100;81;600;VERPACKEN:1000 STÜCK,SCHÜTTEN.;425-0006;10;20838107;ISO-900-R;07.01.2025;07.01.2025;10000;10000;0;0.33;96
100;81;900;BUCHSEN SEITENRICHTIG IN;425-0007;10;43872802;978-Y/02-NZ01;07.01.2025;07.01.2025;750;750;0;1.61;97
200;81;197;SCHRAUBEN EINDREHEN A. AUTOMAT;425-0007;10;43872802;978-Y/02-NZ01;07.01.2025;07.01.2025;750;750;0;0.39;98
300;81;900;KONTROLLE: LOCHABSTÄNDE MIT;425-0007;10;43872802;978-Y/02-NZ01;07.01.2025;07.01.2025;750;750;0;0.63;99
400;81;600;VERPACKEN: 250 STÜCK,SCHÜTTEN.;425-0007;10;43872802;978-Y/02-NZ01;07.01.2025;07.01.2025;750;750;0;0.13;100
100;81;900;BU + DS IN GEHÄUSE EINLEGEN.;425-0008;10;20874012;974-DS/12;07.01.2025;07.01.2025;600;600;0;11.8;101
200;81;197;SCHRAUBEN EINDREHEN A.AUTOMAT;425-0008;10;20874012;974-DS/12;07.01.2025;07.01.2025;600;600;0;2.3;102
100;81;899;BU + DS FÜGEN UND IN GEHÄUSE;425-0009;10;20870502;931-DS/02;07.01.2025;07.01.2025;3000;3000;0;9.54;103
200;81;168;SCHRAUBEN EINDREHEN MIT ZF-;425-0009;10;20870502;931-DS/02;07.01.2025;07.01.2025;3000;3000;0;4.81;104
300;81;600;VERPACKEN: 250 STÜCK, SCHÜTTEN;425-0009;10;20870502;931-DS/02;07.01.2025;07.01.2025;3000;3000;0;0.5;105
100;81;900;BU + DS IN GEHÄUSE EINLEGEN.;524-0120;10;20874003;974-DS/03;14.01.2025;14.01.2025;2000;2000;0;11.53;106
200;81;197;SCHRAUBEN EINDREHEN A. AUTOMAT;524-0120;10;20874003;974-DS/03;14.01.2025;14.01.2025;2000;2000;0;1.56;107
100;81;900;BU + DS IN GEHÄUSE EINLEGEN.;525-0002;10;53872333;977-OP-DS/03-SO;14.01.2025;14.01.2025;5000;5000;0;25.88;108
200;81;100;SCHRAUBEN EINDREHEN A. AUTOMAT;525-0002;10;53872333;977-OP-DS/03-SO;14.01.2025;14.01.2025;5000;5000;0;4.63;109
300;81;900;KONTROLLE: LOCHABSTÄNDE MIT;525-0002;10;53872333;977-OP-DS/03-SO;14.01.2025;14.01.2025;5000;5000;0;4.17;110
400;81;600;VERPACKEN: 250 STÜCK,SCHÜTTEN.;525-0002;10;53872333;977-OP-DS/03-SO;14.01.2025;14.01.2025;5000;5000;0;0.83;111
100;81;20;KONTAKTFEDER IN GEH. FÜGEN.;525-0003;10;10816096;115-F-RKS/02-KB;15.01.2025;15.01.2025;1260;1260;0;2.73;112
200;81;20;BUCHSE IN GEHÄUSE EINLEGEN UND;525-0003;10;10816096;115-F-RKS/02-KB;15.01.2025;15.01.2025;1260;1260;0;3.72;113
300;81;100;SCHRAUBEN EINDREHEN MIT ZF-;525-0003;10;10816096;115-F-RKS/02-KB;15.01.2025;15.01.2025;1260;1260;0;2.02;114
400;81;100;SCHRAUBEN HOCHDREHEN MIT ZF-;525-0003;10;10816096;115-F-RKS/02-KB;15.01.2025;15.01.2025;1260;1260;0;2.02;115
500;81;600;VERPACKEN: 90 STÜCK, LEGEN.;525-0003;10;10816096;115-F-RKS/02-KB;15.01.2025;15.01.2025;1260;1260;0;0.71;116
100;81;900;02-POLIG FEDER + BU MIT VORR.;525-0005;10;50808002015;120-A-111/02-K-BNA;15.01.2025;15.01.2025;1000;1000;0;4.46;117
200;81;100;BUCHSEN HOCHSCHRAUBEN.;525-0005;10;50808002015;120-A-111/02-K-BNA;15.01.2025;15.01.2025;1000;1000;0;1.6;118
